"Date","Price","Open","High","Low","Change %"
"05/15/2026","5.610","5.610","5.610","5.610","1.08%"
"05/14/2026","5.550","5.550","5.550","5.550","-4.48%"
"05/13/2026","5.810","5.870","5.870","5.810","-1.02%"
"05/12/2026","5.870","5.870","5.870","5.870","0.86%"
"05/11/2026","5.820","5.820","5.820","5.820","0.00%"
"05/08/2026","5.820","5.990","5.990","5.820","-2.84%"
"05/07/2026","5.990","5.990","5.990","5.990","-0.33%"
"05/06/2026","6.010","6.010","6.010","6.010","-2.44%"
"05/05/2026","6.160","6.160","6.160","6.160","0.33%"
"05/04/2026","6.140","6.140","6.140","6.140","-0.97%"
"04/30/2026","6.200","6.200","6.200","6.200","0.16%"
"04/29/2026","6.190","6.190","6.190","6.190","-0.32%"
"04/28/2026","6.210","6.210","6.210","6.210","0.49%"
"04/27/2026","6.180","6.180","6.180","6.180","-1.12%"
"04/24/2026","6.250","6.250","6.250","6.250","-0.48%"
"04/23/2026","6.280","6.280","6.280","6.280","2.61%"
"04/22/2026","6.120","6.120","6.120","6.120","0.00%"
"04/21/2026","6.120","6.120","6.120","6.120","0.49%"
"04/20/2026","6.090","6.090","6.090","6.090","-2.56%"
"04/17/2026","6.250","6.250","6.250","6.250","0.16%"
"04/16/2026","6.240","6.240","6.240","6.240","-0.79%"
"04/15/2026","6.290","6.290","6.290","6.290","0.16%"
"04/14/2026","6.280","6.280","6.280","6.280","-1.57%"
"04/13/2026","6.380","6.380","6.380","6.380","-4.49%"
"04/10/2026","6.680","6.680","6.680","6.680","-1.62%"
"04/09/2026","6.790","6.790","6.790","6.790","-0.15%"
"04/08/2026","6.800","6.800","6.800","6.800","-1.88%"
"04/07/2026","6.930","6.930","6.930","6.930","-0.57%"
"04/02/2026","6.970","6.970","6.970","6.970","1.01%"
"04/01/2026","6.900","6.900","6.900","6.900","-4.17%"
"03/31/2026","7.200","7.200","7.200","7.200","-1.64%"
"03/30/2026","7.320","7.320","7.320","7.320","-0.81%"
"03/27/2026","7.380","7.380","7.380","7.380","-0.40%"
"03/26/2026","7.410","7.410","7.410","7.410","-0.13%"
"03/25/2026","7.420","7.420","7.420","7.420","-1.33%"
"03/24/2026","7.520","7.520","7.520","7.520","0.27%"
"03/23/2026","7.500","7.500","7.500","7.500","2.04%"
"03/20/2026","7.350","7.350","7.350","7.350","-0.68%"
"03/19/2026","7.400","7.240","7.400","7.240","2.21%"
"03/18/2026","7.240","7.240","7.240","7.240","0.42%"
"03/17/2026","7.210","7.210","7.210","7.210","-1.90%"
"03/16/2026","7.350","7.350","7.350","7.350","-1.74%"
"03/13/2026","7.480","7.480","7.480","7.480","2.75%"
"03/12/2026","7.280","7.280","7.280","7.280","0.69%"
"03/11/2026","7.230","7.230","7.230","7.230","1.54%"
"03/10/2026","7.120","7.120","7.120","7.120","-5.19%"
"03/09/2026","7.510","7.510","7.510","7.510","4.31%"
"03/06/2026","7.200","7.200","7.200","7.200","2.71%"
"03/05/2026","7.010","7.010","7.010","7.010","0.00%"
"03/04/2026","7.010","7.010","7.010","7.010","-0.57%"
"03/03/2026","7.050","7.050","7.050","7.050","2.17%"
"03/02/2026","6.900","6.900","6.900","6.900","1.47%"
"02/27/2026","6.800","6.800","6.800","6.800","-0.58%"
"02/26/2026","6.840","6.840","6.840","6.840","0.00%"
"02/25/2026","6.840","6.840","6.840","6.840","-1.58%"
"02/24/2026","6.950","6.950","6.950","6.950","-0.14%"
"02/23/2026","6.960","6.960","6.960","6.960","0.14%"
"02/20/2026","6.950","6.950","6.950","6.950","0.14%"
"02/19/2026","6.940","6.940","6.940","6.940","0.43%"
"02/18/2026","6.910","6.910","6.910","6.910","-0.43%"
"02/17/2026","6.940","6.940","6.940","6.940","-0.14%"
"02/16/2026","6.950","6.950","6.950","6.950","-1.42%"
"02/13/2026","7.050","7.050","7.050","7.050","0.00%"
"02/12/2026","7.050","7.050","7.050","7.050","-0.28%"
"02/11/2026","7.070","7.070","7.070","7.070","0.71%"
"02/10/2026","7.020","7.020","7.020","7.020","-0.28%"
"02/09/2026","7.040","7.040","7.040","7.040","-0.28%"
"02/06/2026","7.060","7.060","7.060","7.060","0.86%"
"02/05/2026","7.000","7.000","7.000","7.000","-0.14%"
"02/04/2026","7.010","7.010","7.010","7.010","-1.27%"
"02/03/2026","7.100","7.100","7.100","7.100","-1.25%"
"02/02/2026","7.190","7.190","7.190","7.190","-0.28%"
"01/30/2026","7.210","7.210","7.210","7.210","-0.28%"
"01/29/2026","7.230","7.230","7.230","7.230","0.42%"
"01/28/2026","7.200","7.200","7.200","7.200","-0.69%"
"01/27/2026","7.250","7.250","7.250","7.250","-0.14%"
"01/26/2026","7.260","7.260","7.260","7.260","-0.82%"
"01/23/2026","7.320","7.320","7.320","7.320","-0.95%"
"01/22/2026","7.390","7.390","7.390","7.390","-0.27%"
"01/21/2026","7.410","7.410","7.410","7.410","-0.13%"
"01/20/2026","7.420","7.420","7.420","7.420","0.27%"
"01/19/2026","7.400","7.400","7.400","7.400","-0.13%"
"01/16/2026","7.410","7.410","7.410","7.410","0.41%"
"01/15/2026","7.380","7.380","7.380","7.380","0.00%"
"01/14/2026","7.380","7.380","7.380","7.380","0.27%"
"01/13/2026","7.360","7.360","7.360","7.360","0.82%"
"01/12/2026","7.300","7.300","7.300","7.300","-0.54%"
"01/09/2026","7.340","7.340","7.340","7.340","-0.14%"
"01/08/2026","7.350","7.350","7.350","7.350","0.14%"
"01/07/2026","7.340","7.340","7.340","7.340","-0.27%"
"01/06/2026","7.360","7.360","7.360","7.360","-0.27%"
"01/05/2026","7.380","7.380","7.380","7.380","-0.67%"
"12/30/2025","7.430","7.430","7.430","7.430","0.13%"
"12/29/2025","7.420","7.420","7.420","7.420","0.27%"
"12/23/2025","7.400","7.400","7.400","7.400","0.27%"
"12/22/2025","7.380","7.380","7.380","7.380","0.27%"
"12/19/2025","7.360","7.360","7.360","7.360","-0.27%"
"12/18/2025","7.380","7.380","7.380","7.380","-0.27%"
"12/17/2025","7.400","7.400","7.400","7.400","-0.80%"
"12/16/2025","7.460","7.460","7.460","7.460","-0.53%"
"12/15/2025","7.500","7.500","7.500","7.500","0.13%"
"12/12/2025","7.490","7.490","7.490","7.490","-0.13%"
"12/11/2025","7.500","7.500","7.500","7.500","0.67%"
"12/10/2025","7.450","7.450","7.450","7.450","0.54%"
"12/09/2025","7.410","7.410","7.410","7.410","-0.40%"
"12/08/2025","7.440","7.440","7.440","7.440","0.68%"
"12/05/2025","7.390","7.390","7.390","7.390","0.14%"
"12/04/2025","7.380","7.380","7.380","7.380","-0.67%"
"12/03/2025","7.430","7.430","7.430","7.430","-0.54%"
"12/02/2025","7.470","7.470","7.470","7.470","0.00%"
"12/01/2025","7.470","7.470","7.470","7.470","-0.27%"
"11/28/2025","7.490","7.490","7.490","7.490","-0.13%"
"11/27/2025","7.500","7.500","7.500","7.500","-0.27%"
"11/26/2025","7.520","7.520","7.520","7.520","-0.27%"
"11/25/2025","7.540","7.540","7.540","7.540","-0.26%"
"11/24/2025","7.560","7.560","7.560","7.560","-1.05%"
"11/21/2025","7.640","7.640","7.640","7.640","0.79%"
"11/20/2025","7.580","7.580","7.580","7.580","0.53%"
"11/19/2025","7.540","7.540","7.540","7.540","-0.53%"
"11/18/2025","7.580","7.580","7.580","7.580","0.66%"
"11/17/2025","7.530","7.530","7.530","7.530","0.80%"
"11/14/2025","7.470","7.470","7.470","7.470","-0.13%"
"11/13/2025","7.480","7.480","7.480","7.480","-0.13%"
"11/12/2025","7.490","7.490","7.490","7.490","1.08%"
"11/11/2025","7.410","7.410","7.410","7.410","1.37%"
