"Date","Price","Open","High","Low","Change %"
"05/15/2026","5.660","5.660","5.660","5.660","1.62%"
"05/14/2026","5.570","5.570","5.570","5.570","-3.80%"
"05/13/2026","5.790","5.850","5.850","5.790","-1.03%"
"05/12/2026","5.850","5.850","5.850","5.850","1.74%"
"05/11/2026","5.750","5.750","5.750","5.750","0.00%"
"05/08/2026","5.750","5.950","5.950","5.750","-3.36%"
"05/07/2026","5.950","5.950","5.950","5.950","0.00%"
"05/06/2026","5.950","5.950","5.950","5.950","-2.30%"
"05/05/2026","6.090","6.090","6.090","6.090","0.50%"
"05/04/2026","6.060","6.060","6.060","6.060","-0.66%"
"04/30/2026","6.100","6.100","6.100","6.100","0.00%"
"04/29/2026","6.100","6.100","6.100","6.100","-0.65%"
"04/28/2026","6.140","6.140","6.140","6.140","0.66%"
"04/27/2026","6.100","6.100","6.100","6.100","-1.61%"
"04/24/2026","6.200","6.200","6.200","6.200","0.32%"
"04/23/2026","6.180","6.180","6.180","6.180","3.00%"
"04/22/2026","6.000","5.990","6.000","5.990","0.17%"
"04/21/2026","5.990","5.990","5.990","5.990","0.17%"
"04/20/2026","5.980","5.980","5.980","5.980","-2.76%"
"04/17/2026","6.150","6.150","6.150","6.150","0.16%"
"04/16/2026","6.140","6.140","6.140","6.140","-1.13%"
"04/15/2026","6.210","6.210","6.210","6.210","0.00%"
"04/14/2026","6.210","6.210","6.210","6.210","-1.58%"
"04/13/2026","6.310","6.310","6.310","6.310","-4.68%"
"04/10/2026","6.620","6.620","6.620","6.620","-1.63%"
"04/09/2026","6.730","6.730","6.730","6.730","-1.03%"
"04/08/2026","6.800","6.800","6.800","6.800","-2.44%"
"04/07/2026","6.970","6.970","6.970","6.970","-0.57%"
"04/02/2026","7.010","7.010","7.010","7.010","0.72%"
"04/01/2026","6.960","6.960","6.960","6.960","-4.00%"
"03/31/2026","7.250","7.250","7.250","7.250","-1.49%"
"03/30/2026","7.360","7.360","7.360","7.360","-0.54%"
"03/27/2026","7.400","7.400","7.400","7.400","0.27%"
"03/26/2026","7.380","7.380","7.380","7.380","-0.67%"
"03/25/2026","7.430","7.430","7.430","7.430","-1.59%"
"03/24/2026","7.550","7.550","7.550","7.550","0.27%"
"03/23/2026","7.530","7.530","7.530","7.530","2.31%"
"03/20/2026","7.360","7.360","7.360","7.360","-0.54%"
"03/19/2026","7.400","7.210","7.400","7.210","2.64%"
"03/18/2026","7.210","7.210","7.210","7.210","0.00%"
"03/17/2026","7.210","7.210","7.210","7.210","-1.37%"
"03/16/2026","7.310","7.310","7.310","7.310","-1.35%"
"03/13/2026","7.410","7.410","7.410","7.410","3.06%"
"03/12/2026","7.190","7.190","7.190","7.190","0.56%"
"03/11/2026","7.150","7.150","7.150","7.150","1.85%"
"03/10/2026","7.020","7.020","7.020","7.020","-5.39%"
"03/09/2026","7.420","7.420","7.420","7.420","5.70%"
"03/06/2026","7.020","7.020","7.020","7.020","3.85%"
"03/05/2026","6.760","6.760","6.760","6.760","1.05%"
"03/04/2026","6.690","6.690","6.690","6.690","-1.04%"
"03/03/2026","6.760","6.760","6.760","6.760","2.42%"
"03/02/2026","6.600","6.600","6.600","6.600","2.01%"
"02/27/2026","6.470","6.470","6.470","6.470","-0.31%"
"02/26/2026","6.490","6.490","6.490","6.490","0.15%"
"02/25/2026","6.480","6.480","6.480","6.480","-1.22%"
"02/24/2026","6.560","6.560","6.560","6.560","0.00%"
"02/23/2026","6.560","6.560","6.560","6.560","0.15%"
"02/20/2026","6.550","6.550","6.550","6.550","0.15%"
"02/19/2026","6.540","6.540","6.540","6.540","0.46%"
"02/18/2026","6.510","6.510","6.510","6.510","0.15%"
"02/17/2026","6.500","6.500","6.500","6.500","-0.31%"
"02/16/2026","6.520","6.520","6.520","6.520","-1.66%"
"02/13/2026","6.630","6.630","6.630","6.630","0.15%"
"02/12/2026","6.620","6.620","6.620","6.620","-0.30%"
"02/11/2026","6.640","6.640","6.640","6.640","0.91%"
"02/10/2026","6.580","6.580","6.580","6.580","-0.30%"
"02/09/2026","6.600","6.600","6.600","6.600","-0.15%"
"02/06/2026","6.610","6.610","6.610","6.610","1.07%"
"02/05/2026","6.540","6.540","6.540","6.540","0.31%"
"02/04/2026","6.520","6.520","6.520","6.520","-0.61%"
"02/03/2026","6.560","6.560","6.560","6.560","-0.46%"
"02/02/2026","6.590","6.590","6.590","6.590","-0.15%"
"01/30/2026","6.600","6.600","6.600","6.600","-0.30%"
"01/29/2026","6.620","6.620","6.620","6.620","0.46%"
"01/28/2026","6.590","6.590","6.590","6.590","-0.75%"
"01/27/2026","6.640","6.640","6.640","6.640","0.15%"
"01/26/2026","6.630","6.630","6.630","6.630","-1.04%"
"01/23/2026","6.700","6.700","6.700","6.700","-0.89%"
"01/22/2026","6.760","6.760","6.760","6.760","-0.59%"
"01/21/2026","6.800","6.800","6.800","6.800","-0.29%"
"01/20/2026","6.820","6.820","6.820","6.820","-0.29%"
"01/19/2026","6.840","6.840","6.840","6.840","0.15%"
"01/16/2026","6.830","6.830","6.830","6.830","0.74%"
"01/15/2026","6.780","6.780","6.780","6.780","0.59%"
"01/14/2026","6.740","6.740","6.740","6.740","0.15%"
"01/13/2026","6.730","6.730","6.730","6.730","0.60%"
"01/12/2026","6.690","6.690","6.690","6.690","-1.04%"
"01/09/2026","6.760","6.760","6.760","6.760","-0.29%"
"01/08/2026","6.780","6.780","6.780","6.780","0.00%"
"01/07/2026","6.780","6.780","6.780","6.780","-0.73%"
"01/06/2026","6.830","6.830","6.830","6.830","-0.29%"
"01/05/2026","6.850","6.850","6.850","6.850","-0.29%"
"12/30/2025","6.870","6.870","6.870","6.870","-0.29%"
"12/29/2025","6.890","6.890","6.890","6.890","0.15%"
"12/23/2025","6.880","6.880","6.880","6.880","0.29%"
"12/22/2025","6.860","6.860","6.860","6.860","-0.15%"
"12/19/2025","6.870","6.870","6.870","6.870","-0.43%"
"12/18/2025","6.900","6.900","6.900","6.900","-0.58%"
