"Date","Price","Open","High","Low","Change %"
"05/15/2026","5.620","5.620","5.620","5.620","0.90%"
"05/14/2026","5.570","5.570","5.570","5.570","-3.97%"
"05/13/2026","5.800","5.880","5.880","5.800","-1.36%"
"05/12/2026","5.880","5.880","5.880","5.880","1.38%"
"05/11/2026","5.800","5.800","5.800","5.800","0.00%"
"05/08/2026","5.800","5.990","5.990","5.800","-3.17%"
"05/07/2026","5.990","5.990","5.990","5.990","0.34%"
"05/06/2026","5.970","5.970","5.970","5.970","-2.61%"
"05/05/2026","6.130","6.130","6.130","6.130","0.49%"
"05/04/2026","6.100","6.100","6.100","6.100","-0.97%"
"04/30/2026","6.160","6.160","6.160","6.160","0.16%"
"04/29/2026","6.150","6.150","6.150","6.150","-0.49%"
"04/28/2026","6.180","6.180","6.180","6.180","0.49%"
"04/27/2026","6.150","6.150","6.150","6.150","-1.13%"
"04/24/2026","6.220","6.220","6.220","6.220","-0.32%"
"04/23/2026","6.240","6.240","6.240","6.240","2.63%"
"04/22/2026","6.080","6.070","6.080","6.070","0.16%"
"04/21/2026","6.070","6.070","6.070","6.070","0.66%"
"04/20/2026","6.030","6.030","6.030","6.030","-2.43%"
"04/17/2026","6.180","6.180","6.180","6.180","0.16%"
"04/16/2026","6.170","6.170","6.170","6.170","-0.96%"
"04/15/2026","6.230","6.230","6.230","6.230","0.00%"
"04/14/2026","6.230","6.230","6.230","6.230","-1.58%"
"04/13/2026","6.330","6.330","6.330","6.330","-4.81%"
"04/10/2026","6.650","6.650","6.650","6.650","-1.63%"
"04/09/2026","6.760","6.760","6.760","6.760","-0.44%"
"04/08/2026","6.790","6.790","6.790","6.790","-2.02%"
"04/07/2026","6.930","6.930","6.930","6.930","-0.57%"
"04/02/2026","6.970","6.970","6.970","6.970","1.16%"
"04/01/2026","6.890","6.890","6.890","6.890","-4.31%"
"03/31/2026","7.200","7.200","7.200","7.200","-1.64%"
"03/30/2026","7.320","7.320","7.320","7.320","-0.68%"
"03/27/2026","7.370","7.370","7.370","7.370","-0.54%"
"03/26/2026","7.410","7.410","7.410","7.410","-0.13%"
"03/25/2026","7.420","7.420","7.420","7.420","-1.20%"
"03/24/2026","7.510","7.510","7.510","7.510","0.13%"
"03/23/2026","7.500","7.500","7.500","7.500","1.90%"
"03/20/2026","7.360","7.360","7.360","7.360","-0.54%"
"03/19/2026","7.400","7.230","7.400","7.230","2.35%"
"03/18/2026","7.230","7.230","7.230","7.230","0.28%"
"03/17/2026","7.210","7.210","7.210","7.210","-1.77%"
"03/16/2026","7.340","7.340","7.340","7.340","-1.74%"
"03/13/2026","7.470","7.470","7.470","7.470","2.75%"
"03/12/2026","7.270","7.270","7.270","7.270","0.69%"
"03/11/2026","7.220","7.220","7.220","7.220","1.98%"
"03/10/2026","7.080","7.080","7.080","7.080","-5.09%"
"03/09/2026","7.460","7.460","7.460","7.460","4.78%"
"03/06/2026","7.120","7.120","7.120","7.120","3.19%"
"03/05/2026","6.900","6.900","6.900","6.900","0.58%"
"03/04/2026","6.860","6.860","6.860","6.860","-0.58%"
"03/03/2026","6.900","6.900","6.900","6.900","2.22%"
"03/02/2026","6.750","6.750","6.750","6.750","1.50%"
"02/27/2026","6.650","6.650","6.650","6.650","-0.45%"
"02/26/2026","6.680","6.680","6.680","6.680","-0.15%"
"02/25/2026","6.690","6.690","6.690","6.690","-1.33%"
"02/24/2026","6.780","6.780","6.780","6.780","-0.15%"
"02/23/2026","6.790","6.790","6.790","6.790","0.30%"
"02/20/2026","6.770","6.770","6.770","6.770","0.00%"
"02/19/2026","6.770","6.770","6.770","6.770","0.45%"
"02/18/2026","6.740","6.740","6.740","6.740","-0.30%"
"02/17/2026","6.760","6.760","6.760","6.760","-0.29%"
"02/16/2026","6.780","6.780","6.780","6.780","-1.17%"
"02/13/2026","6.860","6.860","6.860","6.860","0.00%"
"02/12/2026","6.860","6.860","6.860","6.860","-0.29%"
"02/11/2026","6.880","6.880","6.880","6.880","0.58%"
"02/10/2026","6.840","6.840","6.840","6.840","-0.29%"
"02/09/2026","6.860","6.860","6.860","6.860","-0.15%"
"02/06/2026","6.870","6.870","6.870","6.870","0.88%"
"02/05/2026","6.810","6.810","6.810","6.810","0.00%"
"02/04/2026","6.810","6.810","6.810","6.810","-0.73%"
"02/03/2026","6.860","6.860","6.860","6.860","-1.29%"
"02/02/2026","6.950","6.950","6.950","6.950","-0.43%"
"01/30/2026","6.980","6.980","6.980","6.980","-0.14%"
"01/29/2026","6.990","6.990","6.990","6.990","0.29%"
"01/28/2026","6.970","6.970","6.970","6.970","-0.71%"
"01/27/2026","7.020","7.020","7.020","7.020","0.00%"
"01/26/2026","7.020","7.020","7.020","7.020","-0.99%"
"01/23/2026","7.090","7.090","7.090","7.090","-0.98%"
"01/22/2026","7.160","7.160","7.160","7.160","-0.42%"
"01/21/2026","7.190","7.190","7.190","7.190","-0.14%"
"01/20/2026","7.200","7.200","7.200","7.200","-0.14%"
"01/19/2026","7.210","7.210","7.210","7.210","0.00%"
"01/16/2026","7.210","7.210","7.210","7.210","0.28%"
"01/15/2026","7.190","7.190","7.190","7.190","0.14%"
"01/14/2026","7.180","7.180","7.180","7.180","0.14%"
"01/13/2026","7.170","7.170","7.170","7.170","0.56%"
"01/12/2026","7.130","7.130","7.130","7.130","-0.70%"
"01/09/2026","7.180","7.180","7.180","7.180","-0.14%"
"01/08/2026","7.190","7.190","7.190","7.190","0.28%"
"01/07/2026","7.170","7.170","7.170","7.170","-0.55%"
"01/06/2026","7.210","7.210","7.210","7.210","-0.28%"
"01/05/2026","7.230","7.230","7.230","7.230","-0.55%"
"12/30/2025","7.270","7.270","7.270","7.270","0.00%"
"12/29/2025","7.270","7.270","7.270","7.270","0.28%"
"12/23/2025","7.250","7.250","7.250","7.250","0.42%"
"12/22/2025","7.220","7.220","7.220","7.220","0.28%"
"12/19/2025","7.200","7.200","7.200","7.200","-0.28%"
"12/18/2025","7.220","7.220","7.220","7.220","-0.41%"
"12/17/2025","7.250","7.250","7.250","7.250","-0.96%"
"12/16/2025","7.320","7.320","7.320","7.320","-0.54%"
"12/15/2025","7.360","7.360","7.360","7.360","0.14%"
"12/12/2025","7.350","7.350","7.350","7.350","0.00%"
"12/11/2025","7.350","7.350","7.350","7.350","0.55%"
"12/10/2025","7.310","7.310","7.310","7.310","0.69%"
"12/09/2025","7.260","7.260","7.260","7.260","-0.68%"
"12/08/2025","7.310","7.310","7.310","7.310","0.83%"
"12/05/2025","7.250","7.250","7.250","7.250","0.00%"
"12/04/2025","7.250","7.250","7.250","7.250","-0.68%"
"12/03/2025","7.300","7.300","7.300","7.300","-0.41%"
"12/02/2025","7.330","7.330","7.330","7.330","0.00%"
"12/01/2025","7.330","7.330","7.330","7.330","-0.27%"
"11/28/2025","7.350","7.350","7.350","7.350","-0.27%"
"11/27/2025","7.370","7.370","7.370","7.370","-0.27%"
"11/26/2025","7.390","7.390","7.390","7.390","-0.27%"
"11/25/2025","7.410","7.410","7.410","7.410","-0.40%"
"11/24/2025","7.440","7.440","7.440","7.440","-0.93%"
"11/21/2025","7.510","7.510","7.510","7.510","0.81%"
"11/20/2025","7.450","7.450","7.450","7.450","0.40%"
"11/19/2025","7.420","7.420","7.420","7.420","-0.40%"
"11/18/2025","7.450","7.450","7.450","7.450","0.68%"
"11/17/2025","7.400","7.400","7.400","7.400","0.68%"
"11/14/2025","7.350","7.350","7.350","7.350","-0.14%"
"11/13/2025","7.360","7.360","7.360","7.360","-0.14%"
"11/12/2025","7.370","7.370","7.370","7.370","1.24%"
"11/11/2025","7.280","7.280","7.280","7.280","1.39%"
"11/10/2025","7.180","7.180","7.180","7.180","-0.83%"
"11/07/2025","7.240","7.240","7.240","7.240","0.00%"
"11/06/2025","7.240","7.240","7.240","7.240","0.28%"
"11/05/2025","7.220","7.220","7.220","7.220","0.28%"
"11/04/2025","7.200","7.200","7.200","7.200","0.00%"
"11/03/2025","7.200","7.200","7.200","7.200","0.00%"
"10/31/2025","7.200","7.200","7.200","7.200","0.28%"
"10/30/2025","7.180","7.180","7.180","7.180","0.56%"
"10/29/2025","7.140","7.140","7.140","7.140","0.00%"
"10/28/2025","7.140","7.140","7.140","7.140","-0.56%"
"10/27/2025","7.180","7.180","7.180","7.180","0.42%"
"10/22/2025","7.150","7.150","7.150","7.150","-0.28%"
"10/21/2025","7.170","7.170","7.170","7.170","0.42%"
"10/20/2025","7.140","7.140","7.140","7.140","0.14%"
"10/17/2025","7.130","7.130","7.130","7.130","0.00%"
"10/16/2025","7.130","7.130","7.130","7.130","0.28%"
"10/15/2025","7.110","7.110","7.110","7.110","0.00%"
"10/14/2025","7.110","7.110","7.110","7.110","-0.28%"
"10/13/2025","7.130","7.130","7.130","7.130","0.00%"
"10/10/2025","7.130","7.130","7.130","7.130","-0.14%"
"10/09/2025","7.140","7.140","7.140","7.140","-0.28%"
"10/08/2025","7.160","7.160","7.160","7.160","0.00%"
"10/07/2025","7.160","7.160","7.160","7.160","-0.28%"
"10/06/2025","7.180","7.180","7.180","7.180","0.00%"
"10/03/2025","7.180","7.180","7.180","7.180","0.28%"
"10/02/2025","7.160","7.160","7.160","7.160","-0.14%"
"10/01/2025","7.170","7.170","7.170","7.170","-0.14%"
"09/30/2025","7.180","7.180","7.180","7.180","0.14%"
"09/29/2025","7.170","7.170","7.170","7.170","-0.42%"
"09/26/2025","7.200","7.200","7.200","7.200","0.56%"
"09/25/2025","7.160","7.160","7.160","7.160","-0.14%"
"09/24/2025","7.170","7.170","7.170","7.170","0.42%"
"09/23/2025","7.140","7.140","7.140","7.140","-0.28%"
"09/22/2025","7.160","7.160","7.160","7.160","-0.83%"
"09/19/2025","7.220","7.220","7.220","7.220","0.14%"
"09/18/2025","7.210","7.210","7.210","7.210","-0.55%"
"09/17/2025","7.250","7.270","7.270","7.250","-0.28%"
"09/16/2025","7.270","7.270","7.270","7.270","-0.55%"
"09/15/2025","7.310","7.310","7.310","7.310","-0.54%"
"09/12/2025","7.350","7.350","7.350","7.350","-0.41%"
"09/11/2025","7.380","7.380","7.380","7.380","-0.27%"
"09/10/2025","7.400","7.400","7.400","7.400","0.27%"
"09/09/2025","7.380","7.380","7.380","7.380","-0.14%"
"09/08/2025","7.390","7.390","7.390","7.390","-0.67%"
"09/05/2025","7.440","7.440","7.440","7.440","-0.13%"
"09/04/2025","7.450","7.450","7.450","7.450","-0.27%"
"09/03/2025","7.470","7.470","7.470","7.470","0.13%"
"09/02/2025","7.460","7.460","7.460","7.460","0.40%"
"09/01/2025","7.430","7.430","7.430","7.430","0.00%"
"08/29/2025","7.430","7.430","7.430","7.430","0.27%"
"08/28/2025","7.410","7.410","7.410","7.410","0.14%"
"08/27/2025","7.400","7.400","7.400","7.400","0.82%"
"08/26/2025","7.340","7.340","7.340","7.340","0.00%"
"08/25/2025","7.340","7.340","7.340","7.340","-0.27%"
"08/22/2025","7.360","7.360","7.360","7.360","0.41%"
"08/21/2025","7.330","7.330","7.330","7.330","1.10%"
"08/19/2025","7.250","7.250","7.250","7.250","0.00%"
"08/18/2025","7.250","7.250","7.250","7.250","0.28%"
"08/15/2025","7.230","7.230","7.230","7.230","0.00%"
"08/14/2025","7.230","7.230","7.230","7.230","-0.28%"
"08/13/2025","7.250","7.250","7.250","7.250","0.14%"
"08/12/2025","7.240","7.240","7.240","7.240","0.42%"
"08/11/2025","7.210","7.210","7.210","7.210","0.14%"
"08/08/2025","7.200","7.200","7.200","7.200","-1.37%"
"08/07/2025","7.300","7.300","7.300","7.300","-0.68%"
"08/06/2025","7.350","7.350","7.350","7.350","0.00%"
"08/05/2025","7.350","7.350","7.350","7.350","-0.27%"
"08/04/2025","7.370","7.370","7.370","7.370","-1.86%"
"08/01/2025","7.510","7.510","7.510","7.510","0.00%"
"07/31/2025","7.510","7.510","7.510","7.510","1.76%"
"07/30/2025","7.380","7.380","7.380","7.380","0.00%"
"07/29/2025","7.380","7.380","7.380","7.380","0.27%"
"07/28/2025","7.360","7.360","7.360","7.360","-0.27%"
"07/25/2025","7.380","7.380","7.380","7.380","0.68%"
"07/24/2025","7.330","7.330","7.330","7.330","0.00%"
"07/23/2025","7.330","7.330","7.330","7.330","0.14%"
"07/22/2025","7.320","7.320","7.320","7.320","0.00%"
"07/21/2025","7.320","7.320","7.320","7.320","-0.41%"
"07/18/2025","7.350","7.350","7.350","7.350","0.41%"
"07/17/2025","7.320","7.320","7.320","7.320","0.14%"
"07/16/2025","7.310","7.310","7.310","7.310","0.41%"
"07/15/2025","7.280","7.280","7.280","7.280","-0.41%"
"07/14/2025","7.310","7.310","7.310","7.310","0.00%"
"07/11/2025","7.310","7.310","7.310","7.310","0.41%"
"07/10/2025","7.280","7.280","7.280","7.280","-0.55%"
"07/09/2025","7.320","7.320","7.320","7.320","0.00%"
"07/08/2025","7.320","7.320","7.320","7.320","0.69%"
"07/07/2025","7.270","7.270","7.270","7.270","0.69%"
"07/04/2025","7.220","7.270","7.270","7.270","-0.28%"
"07/03/2025","7.240","7.290","7.290","7.290","0.28%"
"07/02/2025","7.220","7.280","7.280","7.280","0.70%"
"07/01/2025","7.170","7.220","7.220","7.220","-0.97%"
"06/30/2025","7.240","7.320","7.320","7.320","0.00%"
"06/27/2025","7.240","7.320","7.320","7.320","0.14%"
"06/26/2025","7.230","7.300","7.300","7.300","-0.82%"
"06/25/2025","7.290","7.370","7.370","7.370","0.28%"
"06/24/2025","7.270","7.350","7.350","7.350","-1.09%"
"06/23/2025","7.350","7.430","7.430","7.430","0.14%"
"06/20/2025","7.340","7.420","7.420","7.420","0.55%"
"06/19/2025","7.300","7.370","7.370","7.370","0.00%"
"06/18/2025","7.300","7.380","7.380","7.380","0.00%"
"06/17/2025","7.300","7.370","7.370","7.370","-0.14%"
"06/16/2025","7.310","7.390","7.390","7.390","-0.68%"
"06/13/2025","7.360","7.440","7.440","7.440","0.27%"
"06/12/2025","7.340","7.410","7.410","7.410","0.14%"
"06/11/2025","7.330","7.410","7.410","7.410","1.10%"
"06/10/2025","7.250","7.330","7.330","7.330","0.42%"
"06/06/2025","7.220","7.300","7.300","7.300","0.00%"
"06/05/2025","7.220","7.300","7.300","7.300","0.14%"
"06/04/2025","7.210","7.290","7.290","7.290","0.14%"
"06/03/2025","7.200","7.270","7.270","7.270","0.00%"
"06/02/2025","7.200","7.280","7.280","7.280","0.56%"
"05/30/2025","7.160","7.230","7.230","7.230","-0.28%"
"05/29/2025","7.180","7.260","7.260","7.260","0.00%"
"05/28/2025","7.180","7.260","7.260","7.260","0.00%"
"05/27/2025","7.180","7.260","7.260","7.260","-0.28%"
"05/26/2025","7.200","7.280","7.280","7.280","-0.28%"
"05/23/2025","7.220","7.290","7.290","7.290","-0.14%"
"05/22/2025","7.230","7.300","7.300","7.300","0.00%"
"05/21/2025","7.230","7.300","7.300","7.300","1.12%"
"05/20/2025","7.150","7.230","7.230","7.230","-0.83%"
"05/19/2025","7.210","7.280","7.280","7.280","1.26%"
"05/16/2025","7.120","7.200","7.200","7.200","-1.66%"
"05/15/2025","7.240","7.320","7.320","7.320","0.98%"
"05/14/2025","7.170","7.240","7.240","7.240","0.70%"
"05/13/2025","7.120","7.190","7.190","7.190","0.00%"
"05/12/2025","7.120","7.200","7.200","7.200","0.56%"
"05/09/2025","7.080","7.150","7.150","7.150","0.28%"
"05/08/2025","7.060","7.140","7.140","7.140","0.00%"
"05/07/2025","7.060","7.140","7.140","7.140","-0.28%"
"05/06/2025","7.080","7.160","7.160","7.160","0.43%"
"05/05/2025","7.050","7.120","7.120","7.120","0.86%"
"04/30/2025","6.990","7.070","7.070","7.070","0.58%"
"04/29/2025","6.950","7.030","7.030","7.030","-0.14%"
"04/28/2025","6.960","7.040","7.040","7.040","-1.28%"
"04/25/2025","7.050","7.130","7.130","7.130","0.00%"
"04/24/2025","7.050","7.130","7.130","7.130","0.00%"
"04/23/2025","7.050","7.130","7.130","7.130","-0.14%"
"04/22/2025","7.060","7.140","7.140","7.140","-1.53%"
"04/17/2025","7.170","7.250","7.250","7.250","-0.14%"
"04/16/2025","7.180","7.260","7.260","7.260","0.14%"
"04/15/2025","7.170","7.250","7.250","7.250","0.14%"
"04/14/2025","7.160","7.230","7.230","7.230","-0.14%"
"04/11/2025","7.170","7.250","7.250","7.250","0.28%"
"04/10/2025","7.150","7.230","7.230","7.230","-0.56%"
"04/09/2025","7.190","7.260","7.260","7.260","2.86%"
"04/08/2025","6.990","7.140","7.140","7.140","-0.85%"
"04/07/2025","7.050","7.120","7.120","7.120","1.00%"
"04/04/2025","6.980","7.060","7.060","7.060","-1.83%"
"04/03/2025","7.110","7.190","7.190","7.190","-0.56%"
"04/02/2025","7.150","7.230","7.230","7.230","-1.92%"
"04/01/2025","7.290","7.360","7.360","7.360","-0.27%"
"03/31/2025","7.310","7.390","7.390","7.390","0.55%"
"03/28/2025","7.270","7.350","7.350","7.350","0.00%"
"03/27/2025","7.270","7.350","7.350","7.350","1.25%"
"03/26/2025","7.180","7.250","7.250","7.250","-1.10%"
"03/25/2025","7.260","7.340","7.340","7.340","-0.27%"
"03/24/2025","7.280","7.350","7.350","7.350","0.28%"
"03/21/2025","7.260","7.340","7.340","7.340","0.55%"
"03/20/2025","7.220","7.300","7.300","7.300","-0.14%"
"03/19/2025","7.230","7.310","7.310","7.310","0.42%"
"03/18/2025","7.200","7.280","7.280","7.280","0.42%"
"03/17/2025","7.170","7.240","7.240","7.240","-0.97%"
"03/14/2025","7.240","7.320","7.320","7.320","-1.50%"
"03/13/2025","7.350","7.430","7.430","7.430","1.38%"
"03/12/2025","7.250","7.330","7.330","7.330","1.68%"
"03/11/2025","7.130","7.210","7.210","7.210","1.13%"
"03/10/2025","7.050","7.120","7.120","7.120","0.14%"
"03/07/2025","7.040","7.110","7.110","7.110","-0.42%"
"03/06/2025","7.070","7.150","7.150","7.150","2.61%"
"03/05/2025","6.890","6.970","6.970","6.970","1.32%"
"03/04/2025","6.800","6.870","6.870","6.870","-0.87%"
"03/03/2025","6.860","6.930","6.930","6.930","1.78%"
"02/28/2025","6.740","6.820","6.820","6.820","0.15%"
"02/27/2025","6.730","6.810","6.810","6.810","-0.44%"
"02/26/2025","6.760","6.830","6.830","6.830","0.00%"
"02/25/2025","6.760","6.840","6.840","6.840","-0.15%"
"02/24/2025","6.770","6.850","6.850","6.850","-0.59%"
"02/21/2025","6.810","6.890","6.890","6.890","-0.29%"
"02/20/2025","6.830","6.910","6.910","6.910","0.15%"
"02/19/2025","6.820","6.900","6.900","6.900","0.29%"
"02/18/2025","6.800","6.880","6.880","6.880","0.15%"
"02/17/2025","6.790","6.870","6.870","6.870","-0.29%"
"02/14/2025","6.810","6.890","6.890","6.890","-0.44%"
"02/13/2025","6.840","6.920","6.920","6.920","-0.73%"
"02/12/2025","6.890","6.970","6.970","6.970","1.03%"
"02/11/2025","6.820","6.900","6.900","6.900","1.49%"
"02/10/2025","6.720","6.800","6.800","6.800","1.51%"
"02/07/2025","6.620","6.700","6.700","6.700","-0.30%"
"02/06/2025","6.640","6.710","6.710","6.710","-1.48%"
"02/05/2025","6.740","6.820","6.820","6.820","-1.61%"
"02/04/2025","6.850","6.930","6.930","6.930","-0.72%"
"02/03/2025","6.900","6.970","6.970","6.970","2.22%"
"01/31/2025","6.750","6.830","6.830","6.830","0.15%"
"01/30/2025","6.740","6.810","6.810","6.810","-0.15%"
"01/29/2025","6.750","6.820","6.820","6.820","-1.17%"
"01/28/2025","6.830","6.900","6.900","6.900","0.15%"
"01/27/2025","6.820","6.890","6.890","6.890","0.15%"
"01/24/2025","6.810","6.890","6.890","6.890","-1.02%"
"01/23/2025","6.880","6.950","6.950","6.950","-0.43%"
"01/22/2025","6.910","6.980","6.980","6.980","-1.43%"
"01/21/2025","7.010","7.080","7.080","7.080","-0.43%"
"01/20/2025","7.040","7.120","7.120","7.120","0.28%"
"01/17/2025","7.020","7.100","7.100","7.100","-0.71%"
"01/16/2025","7.070","7.150","7.150","7.150","-0.98%"
"01/15/2025","7.140","7.220","7.220","7.220","-0.42%"
"01/14/2025","7.170","7.250","7.250","7.250","-0.28%"
