"Date","Price","Open","High","Low","Change %"
"05/15/2026","14.070","13.891","14.177","13.891","2.33%"
"05/14/2026","13.750","13.730","13.750","13.725","-0.46%"
"05/13/2026","13.813","13.935","13.935","13.787","1.05%"
"05/12/2026","13.670","13.641","13.699","13.641","-0.07%"
"05/11/2026","13.680","13.742","13.800","13.680","-0.29%"
"05/08/2026","13.720","13.671","13.791","13.582","0.74%"
"05/07/2026","13.619","13.572","13.620","13.572","-0.59%"
"05/06/2026","13.700","13.759","13.840","13.700","-0.52%"
"05/05/2026","13.771","13.820","13.837","13.771","0.51%"
"05/04/2026","13.701","13.412","13.750","13.412","-1.43%"
"04/30/2026","13.900","13.771","13.900","13.771","0.22%"
"04/29/2026","13.870","13.853","13.870","13.750","1.89%"
"04/28/2026","13.613","13.743","13.743","13.613","-0.57%"
"04/27/2026","13.691","13.598","13.691","13.598","1.41%"
"04/24/2026","13.501","13.659","13.659","13.497","-0.66%"
"04/23/2026","13.591","13.390","13.591","13.390","0.98%"
"04/22/2026","13.459","13.420","13.459","13.415","0.91%"
"04/21/2026","13.338","13.201","13.338","13.201","0.92%"
"04/17/2026","13.217","13.337","13.337","13.217","-0.62%"
"04/16/2026","13.300","13.302","13.429","13.300","-0.08%"
"04/15/2026","13.310","13.502","13.502","13.308","-0.95%"
"04/14/2026","13.437","13.327","13.548","13.327","-0.04%"
"04/13/2026","13.442","13.481","13.481","13.442","-0.13%"
"04/10/2026","13.459","13.589","13.600","13.443","-0.31%"
"04/09/2026","13.501","13.731","13.731","13.461","-0.58%"
"04/08/2026","13.580","13.700","13.739","13.580","-1.35%"
"04/07/2026","13.766","13.730","13.788","13.730","-0.25%"
"04/06/2026","13.800","13.707","13.800","13.701","-0.36%"
"04/01/2026","13.850","13.950","13.951","13.850","-0.72%"
"03/31/2026","13.951","13.961","13.968","13.869","0.08%"
"03/30/2026","13.940","13.939","13.940","13.920","0.27%"
"03/27/2026","13.903","13.884","13.903","13.884","-0.24%"
"03/26/2026","13.936","13.800","13.936","13.800","0.84%"
"03/25/2026","13.820","13.840","13.840","13.769","1.24%"
"03/24/2026","13.651","13.651","13.651","13.651","-1.16%"
"03/20/2026","13.811","13.760","13.850","13.733","-0.47%"
"03/19/2026","13.876","13.719","13.876","13.719","0.92%"
