df,VaR 95%,VaR 99%,CVaR 95%,CVaR 99%
nu=4,0.005361076010919571,0.0095770688234338,0.007898557473135786,0.016839633783783788
nu=5,0.005558231514261709,0.00941822517773996,0.00805527151767152,0.016020209609609617
nu=8,0.005741209932606376,0.009056240718195583,0.008254549549549552,0.016020209609609617
nu=20,0.005836436929177704,0.008649581203255423,0.00836302749706228,0.013436147876447879
nu -> inf,0.005868340655043897,0.008384148544808932,0.007410911891328391,0.009635109402147013
