,Historical 1Y,Historical 3Y,Stressed COVID,Stressed Ukraine_Fed
VaR 95%,0.005304711351351346,0.0052671054054054004,0.00900489189189188,0.007402351891891863
VaR 99%,0.010565207891891897,0.008177357297297311,0.03317745000000002,0.008431322054054047
CVaR 95%,0.007967162162162167,0.007400057467994311,0.024491780180180184,0.007947802702702698
CVaR 99%,0.012685540540540538,0.010239547297297301,0.044407151351351364,0.008476464864864853
