,PC1 (global level),PC2 (global slope),PC3 (global curvature)
Brazil,0.015625869430840864,0.045004261056610984,-0.040930412255169094
Mexico,0.01594784384570772,0.002493614875890817,0.003428645118644583
South Africa,0.022623031790440867,0.010311083053399377,0.024760882363440095
Poland,0.018661617980425628,-0.012388236153731198,-0.010216679947251563
