"Date","Price","Open","High","Low","Change %"
"05/15/2026","6.720","6.730","6.730","6.710","0.00%"
"05/14/2026","6.720","6.700","6.720","6.700","0.15%"
"05/13/2026","6.710","6.700","6.710","6.220","0.30%"
"05/12/2026","6.690","6.690","6.700","6.690","0.00%"
"05/11/2026","6.690","6.690","6.690","6.680","-0.15%"
"05/08/2026","6.700","6.700","6.700","6.700","0.00%"
"05/07/2026","6.700","6.860","6.860","6.700","-0.59%"
"05/06/2026","6.740","6.840","6.840","6.730","-2.18%"
"05/05/2026","6.890","6.860","6.890","6.860","0.58%"
"05/04/2026","6.850","6.870","6.870","6.835","-0.29%"
"04/30/2026","6.870","6.800","6.870","6.800","1.48%"
"04/29/2026","6.770","6.770","6.770","6.770","0.00%"
"04/28/2026","6.770","6.680","6.770","6.680","0.74%"
"04/27/2026","6.720","6.700","6.720","6.700","-0.30%"
"04/24/2026","6.740","6.740","6.740","6.740","1.20%"
"04/23/2026","6.660","6.690","6.690","6.650","-0.45%"
"04/22/2026","6.690","6.800","6.800","6.220","-1.62%"
"04/21/2026","6.800","6.800","6.800","6.800","-0.15%"
"04/20/2026","6.810","6.810","6.810","6.810","0.00%"
"04/17/2026","6.810","6.690","6.810","6.220","3.81%"
"04/16/2026","6.560","6.850","6.850","5.550","-1.20%"
"04/15/2026","6.640","6.640","6.640","6.640","0.76%"
"04/14/2026","6.590","6.600","6.600","6.590","-0.75%"
"04/09/2026","6.640","6.740","6.740","6.640","-1.48%"
"04/08/2026","6.740","6.740","6.740","6.740","-1.61%"
"04/07/2026","6.850","6.850","6.850","6.850","0.00%"
"04/06/2026","6.850","6.850","6.850","6.850","0.15%"
"04/03/2026","6.840","6.840","6.840","6.840","-0.58%"
"04/02/2026","6.880","6.900","6.900","6.850","-0.15%"
"04/01/2026","6.890","6.880","6.950","6.850","-1.15%"
"03/31/2026","6.970","6.950","6.970","6.950","0.29%"
"03/30/2026","6.950","6.950","6.950","6.950","0.00%"
"03/27/2026","6.950","6.930","6.950","6.930","0.43%"
"03/26/2026","6.920","6.890","6.950","6.890","-0.43%"
"03/25/2026","6.950","6.950","6.950","6.950","0.00%"
"03/24/2026","6.950","6.990","6.990","6.950","-1.70%"
"03/23/2026","7.070","6.940","7.150","6.940","1.73%"
"03/20/2026","6.950","7.000","7.000","6.940","-1.14%"
"03/19/2026","7.030","6.920","7.030","6.920","3.53%"
"03/18/2026","6.790","6.965","6.965","6.790","-3.28%"
"03/17/2026","7.020","6.950","7.020","6.950","-0.28%"
"03/16/2026","7.040","6.600","7.040","6.600","-0.28%"
"03/13/2026","7.060","6.820","7.060","6.820","4.28%"
"03/12/2026","6.770","6.900","6.900","6.600","1.65%"
